label,x,y,w,h,filename,width,height
building,76,6,694,407,-_190422104224-753.jpg,770,413
building,0,0,520,411,-_191211203120-539.jpg,770,413

building,74,28,586,217,-_201214142710-795.jpg,770,413
building,1,0,99,100,0352361.jpeg,100,100
building,3,1,256,193,03523610.jpeg,259,194
building,0,1,283,177,03523611.jpeg,283,178
building,63,2,211,182,03523612.jpeg,274,184
building,0,0,73,100,03523613.jpeg,100,100

building,0,0,274,121,03523614.jpeg,274,184
building,5,0,245,144,03523615.jpeg,299,168
building,73,1,227,167,03523616.jpeg,300,168
building,3,8,289,141,03523617.jpeg,292,172
building,0,0,165,193,03523618.jpeg,259,194
building,0,0,276,127,03523619.jpeg,276,182
building,25,1,75,99,0352362.jpeg,100,100
building,39,0,254,150,03523620.jpeg,293,172
building,24,0,246,96,03523621.jpeg,300,168
building,0,1,182,170,03523622.jpeg,295,171


building,13,2,246,104,03523623.jpeg,259,194
building,0,7,50,43,03523628.jpeg,100,100
building,0,0,78,100,03523629.jpeg,100,100
building,1,1,99,99,0352363.jpeg,100,100

building,1,0,99,100,03523630.jpeg,100,100
building,6,0,94,52,0352364.jpeg,100,100
building,8,0,267,153,0352368.jpeg,277,182





building,89,3,105,119,03523833.jpg,194,259

building,0,3,155,161,035240133.jpg,307,164


building,5,1,255,120,03524034.jpg,260,194

building,1,1,241,155,035240380.jpg,274,184

building,0,0,259,135,035242125.jpg,279,180

building,38,5,166,63,03524252.jpg,296,170
building,2,0,98,80,03524294.jpg,100,100
building,0,8,221,131,035246285.jpg,299,168
building,65,2,210,164,035248360.jpg,275,183
building,13,34,211,136,035250372.jpg,251,201
building,103,1,197,164,035250373.jpg,300,168

building,36,0,264,74,035250385.jpg,300,168

building,89,0,210,168,03525235.jpg,299,168
building,0,0,295,171,03525236.jpg,295,171

building,3,1,272,145,035252393.jpg,275,183
building,1,1,296,126,035252394.jpg,297,170
building,142,0,156,57,035252395.jpg,298,169
building,2,2,295,117,035252399.jpg,297,170

building,126,1,68,191,035252402.jpg,194,259
building,93,2,157,159,035252403.jpg,286,176
building,49,1,144,66,035252404.jpg,305,165
building,0,1,260,193,035252407.jpg,260,194


building,2,2,306,119,035300105.jpg,308,164
building,102,11,170,94,035300107.jpg,275,183
building,0,6,184,99,035300138.jpg,194,260
building,0,6,307,120,035300139.jpg,307,164
building,0,0,224,107,035300140.jpg,300,168
building,0,0,95,54,035300141.jpg,300,168

building,22,6,237,86,03530046.jpg,278,181
building,1,19,99,74,03530048.jpg,100,100
building,24,1,276,156,03530053.jpg,300,168
building,64,2,258,142,03530055.jpg,322,156
building,12,33,62,47,03530055.jpg,322,156
building,174,3,112,146,03530058.jpg,286,176
building,0,45,87,92,03530061.jpg,302,167
building,79,59,29,62,03530061.jpg,302,167
building,234,59,68,73,03530061.jpg,302,167
building,213,67,25,46,03530061.jpg,302,167
building,37,3,262,140,03530065.jpg,299,168
building,37,6,263,153,03530066.jpg,300,168
building,50,2,232,146,03530067.jpg,300,168


building,38,3,221,107,03530071.jpg,259,194





building,24,2,255,123,03530074.jpg,279,180

building,0,0,248,85,035306163.jpg,250,202

building,0,0,144,105,035306172.jpg,275,183
building,79,0,221,67,035306174.jpg,300,168
building,57,2,184,104,035306177.jpg,300,168
building,35,0,224,147,035306185.jpg,259,194

building,12,12,118,93,035306191.jpg,290,174
building,159,19,127,101,035306191.jpg,290,174



building,0,0,272,177,035306202.jpg,284,177
building,47,1,188,88,035306206.jpg,322,156




building,0,0,255,78,035306212.jpg,275,183


building,0,0,227,50,035306216.jpg,300,168
building,2,44,273,81,035306219.jpg,275,183

building,50,0,213,105,035306226.jpg,301,168
building,60,0,174,108,035306236.jpg,275,183

building,138,0,132,77,035306240.jpg,270,187

building,61,3,257,154,035312272.jpg,318,159


building,56,0,238,65,035312274.jpg,300,168

building,0,0,199,132,035312278.jpg,300,168
building,29,19,206,102,035312283.jpg,297,170





building,2,2,257,167,035312291.jpg,259,194


building,0,0,168,159,035312299.jpg,286,176


building,5,0,219,148,035312308.jpg,259,194
building,169,9,145,138,035312310.jpg,314,160
building,84,19,84,73,035312310.jpg,314,160
building,114,9,110,90,035312311.jpg,224,224
building,3,11,122,75,035312313.jpg,274,184
building,0,0,190,132,035312316.jpg,234,215

building,133,2,139,66,035312318.jpg,273,184

building,1,2,319,156,035312320.jpg,320,158



building,49,1,91,99,035312322.jpg,299,168






building,28,2,298,153,035312329.jpg,326,155
building,0,0,274,177,035312333.jpg,276,182


building,131,2,128,168,035312334.jpg,259,194
building,68,7,162,110,035312343.jpg,270,187






building,120,0,135,101,035312346.jpg,259,194


building,54,0,199,129,035312347.jpg,288,175


building,68,3,133,86,035314351.jpg,307,164
building,15,35,128,101,035314352.jpg,307,164
building,60,2,114,87,0dfe738a-6e2e-4a47-9230-decbf6491c50_169.jpeg,200,112
building,395,31,325,241,1014189_720.jpg,720,405
building,161,18,319,253,1595162193.png,700,465
